"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0044238",0.00741706426134458,5.33333333333333,19.4117647058824,24,30,"primary metabolic process"
"2","GO:0071704",0.0196723272309484,4.19047619047619,20.0588235294118,24,31,"organic substance metabolic process"
"3","GO:0006807",0.0229474406107564,4,18.1176470588235,22,28,"nitrogen compound metabolic process"
"4","GO:0008152",0.0457913564349164,3.33333333333333,20.7058823529412,24,32,"metabolic process"
